"";"banalfreq";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"neutral";61;-1,6723;-0,1661;-0,464;0,5523;-0,3301;-0,6104;0,3119;1,4039
"diferir";28;-0,3167;-0,0762;-0,213;0,4554;-0,1515;-0,3471;0,7408;-0,3801
"óptimo";91;-0,2886;-0,2477;1,1286;0,4302;-0,4925;-1,1858;0,8545;-0,3338
"pilar";109;-0,7061;-0,2968;-0,3628;0,4598;0,4073;-1,3358;0,696;0,7261
"definirse";20;-0,186;-0,0544;-0,1521;0,6597;-0,1082;-0,5238;0,4572;-0,2163
"explícitamente";72;-0,2613;1,1254;-0,5476;-0,7714;0,6494;-0,5635;1,3865;-0,7965
"válido";65;0,2457;1,2027;-0,4944;-0,3456;-0,3518;0,4745;0,336;-0,3901
"explícito";134;-0,7816;0,6893;0,3854;1,4581;0,6354;-0,8646;1,4682;-1,7636
"intuitiva";37;-0,2192;-0,1007;-0,2814;-0,7226;-0,2002;-1,4841;1,4565;0,4937
"regresión";38;-1,0417;-0,1035;-0,289;0,299;-0,2056;-1,0756;0,7992;0,8566
"discreto";16;0,1967;1,0203;-0,1217;0,2899;-0,0866;0,8861;0,2365;-1,2144
"reducción";128;-0,4852;0,2583;0,736;-1,6617;0,6734;-0,5741;-0,4334;1,2999
"recompensa";54;-1,4804;-0,147;-0,4107;-0,2409;-0,2922;-1,5095;1,5908;0,7388
"perpetuar";62;-1,6997;-0,1688;-0,4716;1,7247;-0,3355;0,4086;-1,0723;1,328
"inflexión";32;-0,8773;-0,0871;-0,2434;-0,6249;-0,1732;-0,2926;-0,3434;1,7647
"frank";21;1,4403;-0,0572;-0,1597;0,2139;-0,1136;-0,5731;0,8406;-1,1468
"simplicidad";18;1,6686;-0,049;-0,1369;-0,3515;-0,0974;-1,4917;0,6832;-0,2929
"aparente";21;-0,5757;-0,0572;-0,1597;-0,4101;0,6378;0,2941;-0,6124;1,2279
"análogo";23;-0,2328;-0,0626;0,4794;-0,1357;-0,1245;-0,6752;-0,5643;1,3642
"activación";20;0,458;-0,0544;-0,1521;1,2565;-0,1082;-0,2737;-0,3223;-0,392
"ponderar";23;-0,6305;-0,0626;-0,1749;0,5712;-0,1245;-1,9061;0,3914;1,3642
"subyace";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;0,4588;-0,24;0,4456
"1969";14;0,2315;1,0756;-0,1065;0,9064;-0,0758;0,3476;-0,4129;-0,5615
"multicapa";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,4476;1,0452;-0,4162
"fluir";62;0,4823;-0,1688;-0,4716;-0,3158;-0,3355;-0,4603;-0,8766;1,8763
"revolucionado";29;-0,3342;-0,079;-0,2206;-0,5663;-0,1569;1,2837;0,4452;-0,6514
"vision";41;-1,124;-0,1116;0,7986;0,9798;-0,2219;-0,5845;0,394;0,3317
"long";55;-1,5078;-0,1497;-0,4183;-0,2499;-0,2976;0,3079;-0,3285;1,3545
"short";17;-0,466;-0,0463;-0,1293;0,2721;-0,092;0,4678;-0,4668;0,6165
"gru";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;1,1009;-0,5175;0,3175
"ruido";46;0,8283;-0,1252;-0,3499;-0,8983;0,3602;1,0436;0,658;-1,8629
"gans";12;-0,329;-0,0327;-0,0913;1,858;-0,0649;-0,9945;-0,24;0,4456
"datasets";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;0,667;-0,4129;0,3126
"transferencia";117;1,9078;0,7788;1,2684;-0,2291;-0,6332;-0,932;0,6286;-1,395
"attention";43;-1,1788;-0,1171;-0,3271;0,923;-0,2327;-1,865;0,9353;0,7574
"mechanisms";11;-0,3016;-0,0299;-0,0837;1,0878;-0,0595;-0,3914;0,254;0,2581
"few";19;-0,5209;-0,0517;-0,1445;0,6934;-0,1028;-0,8761;-0,2559;1,0908
"sexto";26;-0,2823;-0,0708;-0,1978;-0,5077;-0,1407;0,3185;-0,8621;1,7788
"vaswani";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,6454;0,6391
"dinámicamente";18;-0,4935;-0,049;-0,1369;1,3736;-0,0974;-1,4917;0,6832;0,3093
"cross";21;-0,5757;-0,0572;-0,1597;-0,4101;0,6378;-0,5731;-0,3962;1,658
"componer";158;1,2143;0,2016;-0,3173;-0,7652;0,2338;-0,2895;-0,8722;0,8205
"contextualizadas";32;1,9219;-0,0871;-0,2434;-0,6249;-0,1732;-0,4876;-0,9392;1,0692
"modular";15;-0,4112;-0,0408;-0,1141;-0,2929;-0,0812;0,3032;-0,5136;1,2276
"impactante";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,9945;-0,4581;1,8236
"extraordinario";46;1,6789;-0,1252;0,2571;-0,4048;-0,2489;0,2524;-0,3428;-0,4401
"bidireccional";16;1,1519;-0,0436;-0,1217;-0,3125;-0,0866;-1,326;-0,3769;1,0809
"demográficos";30;0,9656;-0,0817;0,3886;0,4174;-0,1623;-1,0624;1,3123;-1,4526
"chain";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,6454;0,6391
"thought";17;-0,1422;0,9953;-0,1293;0,2721;-0,092;-1,4089;-0,4668;1,3732
"multimodales";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,5644;0,3956;0,9363
"mención";41;-1,124;-0,1116;-0,3118;-0,8007;-0,2219;-0,8628;1,4504;0,6661
"sujeto";154;-0,4022;1,1371;-0,3022;-0,3173;1,3607;0,6772;-0,8003;0,2838
"tenerse";16;0,1967;-0,0436;-0,1217;0,8108;-0,0866;0,526;-1,4194;0,7081
"imperativo";70;-1,1738;-0,1906;-0,1828;-1,367;-0,3788;0,6469;1,8671;-0,9059
"4th";11;-0,3016;-0,0299;-0,0837;1,0878;-0,0595;-0,3914;-0,3537;0,533
"berkeley";16;1,1519;1,0203;-0,1217;-0,3125;-0,0866;-0,3406;0,6723;-1,2144
"basic";37;-1,0143;-0,1007;-0,2814;-0,7226;-0,2002;1,0193;-0,2466;0,4937
"bengio";17;-0,466;-0,0463;-0,1293;-0,332;-0,092;0,7982;-0,4668;0,6165
"abs";40;-1,0966;-0,1089;-0,3042;0,5903;-0,2165;-1,1824;0,3248;1,5453
"hinton";18;1,6686;-0,049;-0,1369;1,3736;-0,0974;-0,4292;-0,5646;-0,526
"444";16;-0,4386;-0,0436;-0,1217;0,2899;-0,0866;-0,3406;-0,3769;1,0809
"psychological";35;-0,9595;-0,0953;-0,2662;-0,6835;-0,1894;-0,2272;0,4941;0,825
"game";33;-0,9047;-0,0898;0,9514;0,7549;-0,1786;-0,3208;-1,0437;1,286
"210";13;0,2519;-0,0354;0,6912;-0,2539;1,9616;-0,5053;-1,4508;1,079
"229";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,9208;1,0923
"um";28;-0,3167;-0,0762;-0,213;-0,5468;-0,1515;-0,3471;0,5266;0,5863
"recepción";19;-0,5209;-0,0517;-0,1445;0,6934;-0,1028;-0,241;-0,4284;0,7417
"207";14;0,6782;-0,0381;-0,1065;0,3305;-0,0758;-0,5644;0,3956;-0,2897
"vasco";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;1,6761;-0,6219
"lucir";29;-0,3342;-0,079;-0,2206;0,4359;-0,1569;-1,5523;1,1541;0,3422
"276";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,4476;0,372;0,4456
"facilitación";40;-0,5395;-0,1089;-0,3042;1,5218;-0,2165;-0,353;0,8108;-0,7611
"percibidas";16;-0,4386;-0,0436;-0,1217;-0,3125;0,7429;-0,6861;1,983;-0,7181
"limitations";38;-1,0417;-0,1035;-0,289;-0,7421;-0,2056;-1,0756;1,0324;1,1205
"primary";35;-0,9595;-0,0953;0,3389;-0,6835;-0,1894;-0,6044;0,897;0,5983
"secondary";25;-0,6854;-0,0681;-0,1901;-0,4882;-0,1353;-0,7814;0,8541;0,8068
"identify";22;-0,6031;-0,0599;-0,1673;-0,4296;-0,1191;0,262;-0,4769;1,5036
"opinions";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;1,9597;-0,3487
"collected";15;-0,4112;-0,0408;-0,1141;-0,2929;-0,0812;-1,2431;0,5265;1,2276
"currently";20;-0,5483;-0,0544;-0,1521;-0,3906;-0,1082;-0,5238;0,2807;1,3642
"major";10;-0,2741;-0,0272;-0,0761;1,1624;-0,0541;0,2678;0,3459;-0,6219
"lack";18;-0,4935;-0,049;-0,1369;1,3736;-0,0974;-0,8119;0,6832;-0,2929
"association";53;-0,4399;-0,1443;0,2184;1,0819;-0,2868;0,5102;-0,7687;0,453
"certain";19;-0,5209;-0,0517;-0,1445;-0,371;-0,1028;-0,241;0,3514;0,7417
"finally";24;-0,6579;-0,0653;-0,1825;-0,4687;-0,1299;-1,2075;1,3399;0,6158
"reveal";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,9116;0,254;1,4456
"perception";28;-0,7676;-0,0762;-0,213;-0,5468;-0,1515;-0,9476;1,6893;0,3857
"poderoso";177;-1,1004;0,5181;-1,3463;-0,6866;-0,4501;1,3498;-0,963;1,3319
"establecerse";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,5288;1,3183;-1,3891
"ochoa";12;-0,329;-0,0327;1,7516;-0,2343;-0,0649;-0,4476;0,372;-0,1927
"mitigando";10;-0,2741;-0,0272;0,7941;0,4411;-0,0541;-0,8287;0,6454;-0,2851
"209";15;0,6329;-0,0408;-0,1141;-0,2929;-0,0812;-1,2431;0,3066;0,8138
"makers";12;-0,329;-0,0327;-0,0913;1,0211;-0,0649;-0,4476;-0,24;0,4456
"forms";25;-0,6854;-0,0681;-0,1901;-0,1558;-0,1353;-1,2756;0,8541;0,8068
"concertar";19;0,4875;0,9497;0,5481;-0,371;-0,1028;-0,241;-0,9919;0,7417
"spss";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-0,5053;1,265;-0,2392
"Dominique Strauss-Kahn ";21;-0,2013;-0,0572;-0,1597;-0,4101;-0,1136;-1,7404;0,5756;1,2279
"statistics";17;-0,466;-0,0463;-0,1293;0,7686;-0,092;0,2313;0,3298;-0,2479
"origen";186;0,4547;-0,5064;-1,4147;0,7035;-1,0066;0,4817;-0,6384;0,6604
"211";27;0,3027;-0,0735;-0,2054;-0,1767;-0,1461;-0,5441;-0,4875;1,2516
"comu";39;-1,0692;-0,1062;-0,2966;-0,3154;-0,2111;-1,6093;1,1652;1,0373
"cri";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;0,2678;0,3459;-0,2851
"cal";17;-0,466;-0,0463;-0,1293;0,2721;-0,092;-0,7486;1,2033;-0,2479
"form";25;-0,6854;-0,0681;-0,1901;-0,1558;-0,1353;-0,4602;-0,3446;1,4996
"ahorro";41;0,9852;-0,1116;0,7986;-0,8007;0,3979;-1,2367;0,5395;-0,2724
"desconocimiento";36;-0,9869;-0,098;-0,2738;-0,703;-0,1948;-0,4121;1,6247;-0,2399
"presencialidad";20;-0,5483;-0,0544;-0,1521;-0,3906;-0,1082;-0,2737;1,3774;-0,392
"encima";42;0,9513;0,6355;0,2834;-0,8202;0,3899;-0,6217;0,4705;-0,446
"212";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;0,399;-0,3214;0,6739
"213";17;-0,466;-0,0463;-0,1293;0,2721;-0,092;-0,7486;1,2033;-0,2479
"emo";14;-0,3838;-0,0381;-0,1065;-0,2734;0,7957;-1,1602;0,6621;0,5763
"disminución";53;-0,4399;-0,1443;1,8684;-1,035;-0,2868;-0,7876;0,985;-0,2786
"deshumanización";17;-0,466;-0,0463;-0,1293;-0,332;-0,092;-0,7486;1,2033;0,3615
"individualidad";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;0,3476;0,6621;-0,5615
"dificultar";75;-0,8089;0,4259;0,4262;-0,8163;1,177;-0,2442;0,5002;-0,3336
"económicamente";13;0,2519;1,1065;0,6912;1,7583;-0,0703;-0,5053;-0,9382;-0,2392
"240";17;-0,466;-0,0463;-0,1293;0,2721;-0,092;0,7982;-0,739;0,6165
"214";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;-1,1602;-0,2234;1,3967
"acarrear";10;-0,2741;-0,0272;-0,0761;1,1624;-0,0541;-0,8287;0,3459;0,3175
"bidimensional";11;-0,3016;-0,0299;-0,0837;0,4087;-0,0595;-0,3914;0,838;-0,3487
"x2";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;1,6761;-0,2851
"012";20;-0,5483;-0,0544;-0,1521;-0,3906;-0,1082;-0,5238;0,9989;0,4065
"215";17;-0,466;-0,0463;0,5892;-0,332;-0,092;1,7374;-0,739;-0,2479
"374";12;-0,329;-0,0327;0,7223;-0,2343;-0,0649;-0,4476;0,372;0,4456
"263";10;-0,2741;-0,0272;-0,0761;0,4411;-0,0541;-0,337;0,6454;-0,2851
"contraposición";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;0,8518;-0,24;-0,1927
"corte";51;-0,7623;-0,1388;-0,3879;-0,4715;-0,276;-1,3516;1,1992;0,9125
"216";14;0,2315;-0,0381;0,6627;-0,2734;-0,0758;0,3476;-0,4129;0,3126
"321";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,3914;0,254;0,9267
"cu";20;-0,5483;-0,0544;-0,1521;-0,3906;-0,1082;-1,6575;0,6944;1,3642
"217";23;-0,6305;-0,0626;-0,1749;1,1069;-0,1245;-1,14;-0,5643;1,7978
"323";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;-0,9945;1,5683;-0,1927
"218";15;-0,4112;-0,0408;-0,1141;-0,2929;-0,0812;0,3032;-0,2955;0,8138
"defender";92;0,4786;-0,2505;-0,6997;1,6981;-0,4979;0,6209;0,5445;-1,8312
"destrezas";64;-0,6169;-0,1742;-0,4868;-0,6539;-0,3463;0,6739;0,2857;0,6103
"219";18;-0,1564;-0,049;0,568;-0,3515;-0,0974;-0,8119;-0,3473;1,2234
"manifestación";32;1,9219;-0,0871;-0,2434;-0,6249;-0,1732;-0,7726;-0,4982;0,7927
"reticencia";11;-0,3016;-0,0299;0,7564;-0,2148;-0,0595;-0,9116;0,838;0,2581
"alam";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;-0,21;1,4057;-0,526
"promoting";31;-0,8498;-0,0844;-0,2358;-0,6054;-0,1678;-0,2656;0,6491;0,6226
"ssrn";66;-1,085;-0,1797;-0,1663;0,4811;-0,3572;0,792;1,15;-1,4492
"2139";25;-0,6854;-0,0681;-0,1901;-0,4882;-0,1353;1,6919;0,606;-1,0365
"barriers";12;-0,329;-0,0327;0,7223;1,0211;-0,0649;-0,4476;-0,4581;0,4456
"lin";30;-0,3519;-0,0817;-0,2282;-0,5859;-0,1623;1,1987;-0,7437;0,688
"255";10;-0,2741;-0,0272;0,7941;-0,1953;-0,0541;-0,337;0,3459;0,3175
"s40593";11;0,3005;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;0,254;0,2581
"019";30;-0,8224;-0,0817;-0,2282;-0,5859;-0,1623;-0,415;1,3123;0,3032
"discovery";17;-0,466;-0,0463;-0,1293;0,2721;0,7192;-0,3841;-0,4668;0,9528
"taylor";25;-0,6854;-0,0681;-0,1901;0,5208;-0,1353;-0,7814;0,2614;1,1234
"francis";16;0,5917;-0,0436;-0,1217;0,2899;-0,0866;0,526;-0,9632;0,4223
"personalized";55;-1,5078;-0,1497;0,2088;-1,0741;-0,2976;1,0729;-0,3285;0,6876
"enabled";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;0,4588;-0,4581;0,4456
"adaptive";31;-0,8498;0,753;0,3778;-0,6054;-0,1678;1,9164;-0,6105;-0,3365
"mapping";22;-0,6031;-0,0599;-0,1673;0,5988;0,6202;-0,344;0,3012;0,3069
"caeai";29;-0,795;-0,079;-0,2206;-0,5663;-0,1569;-0,6325;0,8702;0,7597
"versus";54;0,3742;-0,147;-0,4107;0,6717;-0,2922;-0,4092;-0,6657;0,9424
"frontiersin";12;0,7837;-0,0327;-0,0913;0,3798;-0,0649;0,4588;-0,4581;-0,4162
"pixel";19;-0,5209;-0,0517;-0,1445;-0,371;0,6761;-0,4758;1,6173;-0,5923
"characteristics";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;-0,21;-0,5646;1,6875
"ahmed";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;0,8861;-0,3769;0,4223
"solutions";17;-0,466;-0,0463;0,5892;-0,332;-0,092;0,2313;-0,739;1,3732
"contigo";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;1,7352;-0,2604;-1,2628
"ordenación";30;-0,8224;-0,0817;-0,2282;-0,2093;1,2752;0,3723;0,5426;-0,4719
"themes";12;-0,329;-0,0327;-0,0913;1,0211;-0,0649;-0,1856;-0,4581;0,4456
"221";14;-0,3838;-0,0381;-0,1065;-0,2734;-0,0758;-0,259;0,6621;0,3126
"achieving";12;-0,329;-0,0327;-0,0913;0,3798;-0,0649;-0,9945;0,6529;0,4456
"1038";30;-0,3519;-0,0817;-0,2282;-0,5859;-0,1623;0,3723;0,246;0,688
"grading";10;-0,2741;-0,0272;-0,0761;1,1624;-0,0541;0,2678;-0,5175;0,3175
"5th";11;-0,3016;-0,0299;-0,0837;0,4087;0,8925;0,2262;-1,0919;0,9267
"cloud";77;-0,8451;-0,2096;-0,5857;0,9099;-0,4167;0,326;1,1059;-0,8215
"222";12;0,2748;-0,0327;-0,0913;0,3798;-0,0649;-0,9945;-0,24;0,7892
"006";19;-0,5209;-0,0517;-0,1445;-0,371;0,6761;-1,5746;1,6173;0,2645
"014";19;-0,5209;-0,0517;-0,1445;-0,371;-0,1028;0,6494;0,3514;0,2645
"005";24;-0,6579;-0,0653;-0,1825;-0,4687;-0,1299;-1,2075;0,9981;0,8963
"normalización";13;0,2519;-0,0354;-0,0989;-0,2539;0,8252;-0,5053;0,5087;-0,2392
"202";35;-0,4435;-0,0953;0,3389;-0,2669;-0,1894;-0,9207;0,3473;1,0947
"003";33;-0,9047;-0,0898;-0,251;-0,6444;-0,1786;-0,8211;1,4688;0,5084
"008";15;-0,4112;-0,0408;-0,1141;-0,2929;0,7683;-1,2431;0,8301;0,4932
"015";15;0,2132;-0,0408;-0,1141;-0,2929;-0,0812;0,3032;0,5265;-0,3439
"020";29;-0,795;-0,079;-0,2206;-0,5663;-0,1569;1,6929;0,2973;-0,4249
"009";18;-0,4935;-0,049;-0,1369;-0,3515;-0,0974;-0,4292;0,2592;1,2234
"023";59;-1,6174;-0,1606;-0,4487;-1,1522;-0,3193;-0,2604;0,2998;1,8591
"365";13;0,7282;-0,0354;-0,0989;-0,2539;-0,0703;0,399;-0,5723;0,3731
"004";19;-0,5209;-0,0517;-0,1445;-0,371;-0,1028;-0,8761;0,8354;0,7417
"335";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,9208;1,6852
"223";24;-0,2491;-0,0653;0,4645;-0,4687;-0,1299;-1,2075;0,9981;0,3948
"313";14;0,2315;-0,0381;-0,1065;-0,2734;-0,0758;0,3476;-1,6372;1,9614
"293";11;0,3005;-0,0299;-0,0837;-0,2148;-0,0595;-0,3914;0,254;0,533
"237";13;-0,3564;-0,0354;0,6912;0,961;-0,0703;-1,0774;0,2816;0,3731
"231";15;-0,4112;-0,0408;-0,1141;-0,2929;-0,0812;0,3032;0,3066;0,4932
"981";16;-0,4386;-0,0436;-0,1217;-0,3125;-0,0866;0,2647;-0,6225;1,5434
"031";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-0,3081;-0,2401;1,2279
"021";31;-0,8498;-0,0844;-0,2358;-0,6054;-0,1678;0,5436;1,1542;-0,521
"018";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-1,0774;0,5087;1,079
"013";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;0,4588;0,6529;-0,4162
"234";14;0,2315;-0,0381;0,6627;0,3305;-0,0758;-1,1602;-0,6952;1,3967
"315";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,5288;-0,6493;0,9267
"225";17;-0,466;-0,0463;0,5892;-0,332;-0,092;-0,7486;-0,2741;1,3732
"bogotá";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;-0,3914;1,3183;-0,3487
"secretario";63;-0,34;-0,1715;0,5244;1,6899;-0,3409;-0,3414;0,6879;-1,2692
"castillo";40;-1,0966;-0,1089;-0,3042;-0,7811;1,0564;-0,353;1,0395;-0,2437
"varela";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;1,3183;-0,7159
"quintero";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;0,3459;1,0923
"peña";33;-0,9047;-0,0898;1,713;-0,6444;-0,1786;-1,2396;0,8878;0,5084
"natalia";13;0,2519;-0,0354;-0,0989;0,3539;-0,0703;-0,2212;1,265;-1,6417
"suarez";11;-0,3016;-0,0299;-0,0837;-0,2148;-0,0595;0,2262;0,4901;0,2581
"santana";13;-0,3564;-0,0354;-0,0989;-0,2539;-0,0703;-0,2212;0,8316;-0,2392
"impactando";28;-0,7676;-0,0762;-0,213;-0,5468;0,5309;-0,3471;0,7408;0,3857
"liberar";93;0,2951;-0,2532;0,3174;-0,2139;-0,5033;-0,2603;0,321;0,3109
"articular";97;0,6158;-0,2641;0,6238;-1,8943;-0,5249;0,2791;0,3409;0,3998
"apropiación";78;-1,3542;-0,2124;-0,5933;-0,4842;-0,4221;1,371;-0,782;1,1699
"movilización";10;-0,2741;-0,0272;-0,0761;1,1624;-0,0541;-0,337;0,3459;-0,2851
"emocionante";35;-0,1956;-0,0953;-0,2662;-0,6835;-0,1894;0,8511;0,3473;-0,3357
"traer";133;-0,2418;0,6941;-0,4866;-0,5228;0,3086;1,125;-1,1061;0,5607
"invitación";57;-0,5023;-0,1552;-0,4335;-1,1131;-0,3085;-0,947;1,2204;0,7694
"masificación";15;-0,4112;-0,0408;1,5648;-0,2929;-0,0812;-0,6247;-0,8258;1,7377
"horizontal";29;-0,795;-0,079;-0,2206;-0,5663;0,5182;1,2837;0,2973;-0,4249
"igualitario";12;-0,329;-0,0327;-0,0913;-0,2343;0,8573;-0,4476;1,0452;-0,4162
"explorador";18;-0,1564;-0,049;-0,1369;-0,3515;-0,0974;0,4164;0,2592;0,3093
"brújula";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,2604;0,6391
"consigo";62;0,4823;-0,1688;-0,4716;-1,2108;-0,3355;-0,4603;0,7604;0,4062
"predefinidos";15;-0,4112;1,047;-0,1141;0,3093;1,8397;-0,6247;1,2287;-1,8943
"juguete";15;0,6329;-0,0408;-0,1141;-0,2929;-0,0812;-0,2989;1,7352;-1,8943
"doméstico";27;0,6439;-0,0735;-0,2054;0,476;-0,1461;0,2875;-0,7015;0,4342
"predefinir";34;-0,4248;0,7168;-0,2586;-0,664;-0,184;0,9116;1,3052;-1,8074
"gusto";44;1,7782;-0,1198;0,2698;-0,8593;0,3746;0,2965;0,4852;-1,3116
"colaborativo";258;0,289;1,0975;-0,4639;-0,706;-0,2194;-1,2256;1,382;-0,3832
"horizonte";115;-0,5404;-0,3131;0,2252;-1,4472;-0,6223;-0,4354;0,5185;1,075
"omnipresente";33;-0,1729;-0,0898;-0,251;1,8556;-0,1786;-0,5255;-1,7229;1,6371
"utilizarla";70;-0,7199;-0,1906;-0,5324;-0,3972;0,2351;0,3527;0,5281;0,3973
"promesa";80;0,438;1,0472;1,888;-0,5068;-0,4329;-1,3115;-0,9092;1,4817
"provecho";19;-0,171;-0,0517;-0,1445;-0,371;-0,1028;-0,241;0,8354;-0,341
"integrarla";28;-0,7676;-0,0762;-0,213;-0,5468;-0,1515;-0,3471;-0,3871;1,9149
"pendiente";20;0,458;-0,0544;0,5294;-0,3906;1,5998;-0,2737;-0,5169;-0,2163
"encargo";18;-0,1564;-0,049;1,4162;0,2558;-0,0974;0,4164;-0,5646;-0,2929
"preventivo";16;0,5917;-0,0436;-0,1217;-0,3125;-0,0866;0,2647;-0,3769;0,4223
"integrante";35;-0,4435;-0,0953;-0,2662;0,3381;-0,1894;-0,2272;1,158;-0,736
"oponer";21;0,8728;0,9089;-0,1597;-0,4101;-0,1136;1,2353;-0,3962;-1,1468
"temer";25;1,1986;-0,0681;1,1581;1,021;0,5724;0,3527;-1,4228;-0,6857
"centrarnos";25;1,1986;-0,0681;-0,1901;0,5208;-0,1353;-1,2756;0,606;-0,4339
"destrucción";16;0,1967;-0,0436;1,5118;0,8108;-0,0866;-0,3406;0,2365;-0,7181
"coexistencia";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;0,2678;-0,9208;1,6852
"auténtico";171;-1,332;-0,1485;-0,6963;-0,6322;-0,9254;1,2136;-0,704;1,2834
"atrapar";13;0,7282;-0,0354;-0,0989;-0,2539;-0,0703;-0,2212;-0,5723;0,6739
"invaluable";40;-0,2566;-0,1089;-0,3042;-0,7811;-0,2165;-0,5481;1,6079;-0,3704
"régimen";25;1,1986;-0,0681;-0,1901;-0,4882;-0,1353;-0,7814;1,1586;-0,6857
"elogiar";12;-0,329;-0,0327;0,7223;-0,2343;-0,0649;-0,9945;0,372;0,7892
"inmersiva";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;0,2941;0,3719;0,5774
"difícilmente";13;0,7282;-0,0354;-0,0989;-0,2539;-0,0703;0,7529;-0,3214;-0,4873
"emular";28;0,2859;-0,0762;-0,213;-0,5468;-0,1515;0,447;0,7408;-0,5939
"arraigar";26;0,6764;-0,0708;-0,1978;0,4977;-0,1407;-0,5016;-0,8621;1,0194
"sociocultural";29;0,5844;-0,079;0,3999;-0,5663;-0,1569;0,6406;0,2973;-0,6514
"configurando";10;-0,2741;-0,0272;-0,0761;-0,1953;-0,0541;-0,337;1,0789;-0,2851
"colaborar";253;-1,0454;0,3283;0,5562;0,4911;-0,2095;-0,6335;1,4172;-0,8425
"entrega";104;-0,6368;-0,2831;-0,791;-0,489;-0,5628;-0,4541;0,3373;1,4694
"influir";293;0,8744;-0,344;0,3986;-0,7755;-0,2938;-0,6906;1,27;-0,8939
"acertar";39;1,0571;0,6638;0,833;-0,7616;0,4147;-1,1287;0,9159;-0,9778
"studio";21;-0,5757;-0,0572;-0,1597;-0,4101;-0,1136;-0,3081;1,5783;-0,4458
"courses";24;-0,6579;-0,0653;-0,1825;1,0628;-0,1299;-1,2075;-0,4428;1,6417
"griego";29;1,0073;-0,079;-0,2206;-0,5663;-0,1569;-0,3805;1,8807;-1,9062
"diccionario";20;0,9206;0,9287;-0,1521;-0,3906;1,5998;-0,5238;-0,3223;-0,392
"costumbre";21;0,4308;-0,0572;-0,1597;-0,4101;-0,1136;0,2941;0,3719;-0,2543
"procurar";50;-0,7415;-0,1361;0,6667;-0,9764;-0,2706;0,2914;1,32;-0,6017
"heredar";12;-0,329;-0,0327;-0,0913;-0,2343;0,8573;0,4588;0,372;-0,4162
"reduccionista";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;-0,8287;-0,5175;1,6852
"aproximar";38;0,3839;-0,1035;1,5513;-0,7421;-0,2056;-1,5465;0,6025;0,4477
"daño";109;0,2985;-0,2968;0,9125;1,2899;0,4073;-0,8891;-0,6211;0,4887
"irreversible";10;0,3297;-0,0272;-0,0761;-0,1953;-0,0541;0,6114;-0,2604;-0,2851
"confirmación";12;-0,329;-0,0327;-0,0913;-0,2343;-0,0649;0,8518;1,0452;-1,5154
